order_id,product_id,product_quantity,product_subtotal,product_subtotal_tax,product_total,product_total_tax
44818,31527,1.0,32.704918,7.2,29.434426,6.48
44818,41685,1.0,32.704918,7.2,29.434426,6.48
44818,38454,1.0,0.0,0.0,0.0,0.0
44816,25001,2.0,47.055738,10.35,42.35082,9.32
44816,3870,1.0,15.918033,3.5,15.918033,3.5
44816,38454,1.0,0.0,0.0,0.0,0.0
44814,43160,1.0,17.95082,3.95,17.95082,3.95
44814,43160,1.0,12.385246,2.72,12.385246,2.72
44813,25752,2.0,32.622951,7.18,32.622951,7.18
44813,31856,2.0,31.318033,6.89,31.318033,6.89
44813,38454,1.0,0.0,0.0,0.0,0.0
44812,31856,1.0,16.311475,3.59,16.311475,3.59
44812,42937,1.0,13.032787,2.87,13.032787,2.87
44810,42937,1.0,17.95082,3.95,17.95082,3.95
44810,42360,1.0,16.311475,3.59,16.311475,3.59
44809,3865,1.0,16.311475,3.59,16.311475,3.59
44809,25752,1.0,16.311475,3.59,16.311475,3.59
44808,3865,1.0,16.311475,3.59,16.311475,3.59
44808,43160,1.0,12.385246,2.72,12.385246,2.72
44785,31856,1.0,16.311475,3.59,13.860656,3.05
44785,43160,1.0,13.032787,2.87,11.07377,2.44
44785,42937,1.0,13.032787,2.87,11.07377,2.44
44785,3320,1.0,9.811475,2.16,8.344262,1.84
44785,25752,1.0,11.065574,2.43,9.409836,2.07
44785,38454,1.0,0.0,0.0,0.0,0.0
44784,3865,2.0,32.622951,7.18,32.622951,7.18
44784,3870,1.0,16.311475,3.59,16.311475,3.59
44784,38454,1.0,0.0,0.0,0.0,0.0
44783,25752,2.0,32.622951,7.18,29.360656,6.46
44783,31856,1.0,16.311475,3.59,14.680328,3.23
44782,25001,1.0,17.95082,3.95,17.95082,3.95
44782,42360,1.0,6.54918,1.44,6.54918,1.44
44780,3865,2.0,32.622951,7.18,32.622951,7.18
44780,25001,1.0,24.508197,5.39,24.508197,5.39
44780,38454,1.0,0.0,0.0,0.0,0.0
44779,31527,1.0,32.704918,7.2,32.704918,7.2
44778,31527,1.0,32.704918,7.2,32.704918,7.2
44777,42937,1.0,7.368852,1.62,7.368852,1.62
44777,43160,1.0,7.368852,1.62,7.368852,1.62
44775,3386,6.0,36.909836,8.12,36.909836,8.12
44775,3313,3.0,28.384426,6.24,28.384426,6.24
44775,38454,1.0,0.0,0.0,0.0,0.0
44775,3314,3.0,25.99918,5.72,25.99918,5.72
44775,43160,1.0,17.95082,3.95,17.95082,3.95
44775,25752,1.0,16.311475,3.59,16.311475,3.59
44774,3870,1.0,16.311475,3.59,16.311475,3.59
44773,31856,2.0,31.318033,6.89,28.186885,6.2
44772,42937,1.0,7.368852,1.62,5.991803,1.32
44772,43160,1.0,7.368852,1.62,6.0,1.32
44771,42937,1.0,17.95082,3.95,16.155738,3.55
44771,3870,1.0,15.918033,3.5,15.918033,3.5
44769,31856,2.0,31.318033,6.89,31.318033,6.89
44768,43160,1.0,17.95082,3.95,17.95082,3.95
44768,31856,1.0,16.311475,3.59,16.311475,3.59
44768,41242,1.0,15.491803,3.41,15.491803,3.41
44768,38454,1.0,0.0,0.0,0.0,0.0
44767,32526,1.0,31.967213,7.03,31.967213,7.03
44766,32396,1.0,16.311475,3.59,16.311475,3.59
44765,42360,3.0,32.532787,7.16,32.532787,7.16
44765,42937,1.0,13.032787,2.87,13.032787,2.87
44765,43160,1.0,13.032787,2.87,13.032787,2.87
44765,38454,1.0,0.0,0.0,0.0,0.0
44765,24422,1.0,16.311475,3.59,16.311475,3.59
44764,25752,1.0,12.295081970000002,2.7,12.295081970000002,2.7
44761,31856,2.0,31.318033,6.89,31.318033,6.89
44759,3313,12.0,49.18032787,10.82,49.18032787,10.82
44759,43074,1.0,16.393442620000002,3.61,16.393442620000002,3.61
44758,3314,6.0,24.59016393,5.41,24.59016393,5.41
44758,3313,6.0,24.59016393,5.41,24.59016393,5.41
44758,3592,1.0,4.09836066,0.9,4.09836066,0.9
44757,43880,1.0,34.598361,7.61,34.598361,7.61
44757,3870,1.0,0.0,0.0,0.0,0.0
44757,35699,1.0,0.0,0.0,0.0,0.0
44757,38794,1.0,0.0,0.0,0.0,0.0
44756,31856,1.0,16.311475,3.59,16.311475,3.59
44755,31856,1.0,16.311475,3.59,16.311475,3.59
44755,41242,1.0,15.491803,3.41,15.491803,3.41
44754,41685,1.0,32.704918,7.2,32.704918,7.2
44754,31527,1.0,32.704918,7.2,32.704918,7.2
44754,38454,1.0,0.0,0.0,0.0,0.0
44753,31856,1.0,16.311475,3.59,14.680328,3.23
44753,25752,1.0,16.311475,3.59,14.680328,3.23
44752,25752,3.0,48.934426,10.77,41.590164,9.15
44752,3865,1.0,16.311475,3.59,13.868852,3.05
44752,38454,1.0,0.0,0.0,0.0,0.0
44751,25752,2.0,32.622951,7.18,32.622951,7.18
44750,25752,1.0,16.311475,3.59,16.311475,3.59
44750,3865,1.0,16.311475,3.59,16.311475,3.59
44749,43074,2.0,25.544262,5.62,25.544262,5.62
44748,31856,1.0,16.311475,3.59,16.311475,3.59
44747,31856,1.0,16.311475,3.59,16.311475,3.59
44747,44635,1.0,32.704918,7.2,32.704918,7.2
44747,44615,1.0,0.0,0.0,0.0,0.0
44747,44595,1.0,0.0,0.0,0.0,0.0
44747,38794,1.0,0.0,0.0,0.0,0.0
44747,38454,1.0,0.0,0.0,0.0,0.0
44742,25752,2.0,32.622951,7.18,32.622951,7.18
44741,3386,5.0,31.405738,6.91,28.266393,6.22
44740,31856,1.0,16.311475,3.59,16.311475,3.59
44740,38454,1.0,0.0,0.0,0.0,0.0
44740,42360,1.0,16.311475,3.59,16.311475,3.59
44740,43074,1.0,17.95082,3.95,17.95082,3.95
44739,31856,1.0,16.311475,3.59,16.311475,3.59
44739,42937,1.0,17.95082,3.95,17.95082,3.95
44738,31527,2.0,64.101639,14.1,64.101639,14.1
44738,38454,1.0,0.0,0.0,0.0,0.0
44737,30799,1.0,40.901639,9.0,36.811475,8.1
44737,3870,1.0,0.0,0.0,0.0,0.0
44737,35699,1.0,0.0,0.0,0.0,0.0
44737,37170,1.0,0.0,0.0,0.0,0.0
44736,25752,5.0,81.557377,17.94,81.557377,17.94
44736,38454,1.0,0.0,0.0,0.0,0.0
44736,3865,3.0,48.934426,10.77,48.934426,10.77
44735,41685,1.0,32.704918,7.2,32.704918,7.2
44734,43880,1.0,34.598361,7.61,34.598361,7.61
44734,3870,1.0,0.0,0.0,0.0,0.0
44734,35699,1.0,0.0,0.0,0.0,0.0
44734,38794,1.0,0.0,0.0,0.0,0.0
44733,3865,2.0,32.622951,7.18,32.622951,7.18
44733,25752,1.0,16.311475,3.59,16.311475,3.59
44733,3870,1.0,15.918033,3.5,15.918033,3.5
44733,38454,1.0,0.0,0.0,0.0,0.0
44731,3870,2.0,32.622951,7.18,32.622951,7.18
44730,25752,1.0,16.311475,3.59,16.311475,3.59
44730,3865,1.0,16.311475,3.59,16.311475,3.59
44729,3361,6.0,32.237705,7.09,32.237705,7.09
44729,3386,6.0,36.909836,8.12,36.909836,8.12
44729,38454,1.0,0.0,0.0,0.0,0.0
44728,31856,1.0,16.311475,3.59,14.680328,3.23
44725,44635,1.0,32.704918,7.2,29.434426,6.48
44725,44615,1.0,0.0,0.0,0.0,0.0
44725,44595,1.0,0.0,0.0,0.0,0.0
44725,38794,1.0,0.0,0.0,0.0,0.0
44724,25001,1.0,17.95082,3.95,15.254098,3.36
44724,24422,1.0,16.311475,3.59,13.868852,3.05
44724,3314,1.0,8.934426,1.97,7.598361,1.67
44722,44635,1.0,32.704918,7.2,29.434426,6.48
44722,44615,1.0,0.0,0.0,0.0,0.0
44722,44595,1.0,0.0,0.0,0.0,0.0
44722,38794,1.0,0.0,0.0,0.0,0.0
44722,31856,1.0,16.311475,3.59,14.680328,3.23
44722,38454,1.0,0.0,0.0,0.0,0.0
44722,25752,1.0,16.311475,3.59,14.680328,3.23
44721,25752,1.0,11.065574,2.43,11.065574,2.43
44721,3865,1.0,16.311475,3.59,16.311475,3.59
44720,3865,2.0,32.622951,7.18,29.360656,6.46
44720,42360,1.0,16.311475,3.59,14.680328,3.23
44716,44635,1.0,32.704918,7.2,32.704918,7.2
44716,44615,1.0,0.0,0.0,0.0,0.0
44716,44595,1.0,0.0,0.0,0.0,0.0
