product_id,product_sku,product_type,format_size,wine_type,alcohol_level,category,is_subscription,is_gift_included,is_customizable
31527,WO-00-5L,BIB,5L,Red,Alcohol-Free,Wine,False,False,False
41685,WO-00-B-5L,BIB,5L,White,Alcohol-Free,Wine,False,False,False
38454,WO-ALF-75-OMG,Unknown,Unknown,Red,Regular,Wine,False,False,False
25001,WO-100-5L,BIB,5L,Unknown,Regular,Wine,False,False,False
3870,WO-2080-3L,BIB,Unknown,Unknown,Regular,Wine,False,False,False
43160,WO-RIES-5L,BIB,5L,Unknown,Regular,Wine,False,False,False
25752,WO-VS-5L,BIB,5L,White,Regular,Wine,False,False,False
31856,WO-ROSA-5L,BIB,5L,Rosé,Regular,Wine,False,False,False
42937,WO-MUL-3L,BIB,3L,Unknown,Regular,Wine,False,False,False
42360,WO-CIL-5L,BIB,5L,Unknown,Regular,Wine,False,False,False
3865,WO-5050-5L,BIB,5L,Unknown,Regular,Wine,False,False,False
3320,WO-BAL-75,Unknown,Unknown,Rosé,Regular,Wine,False,False,False
3386,WO-IBU-75,Unknown,Unknown,Unknown,Regular,Wine,False,False,False
3313,WO-LIC-75,Unknown,Unknown,Unknown,Regular,Wine,False,False,False
3314,WO-1123-75,Unknown,Unknown,Red,Regular,Wine,False,False,False
41242,WO-LEG-5L,BIB,5L,Red,Regular,Wine,False,False,False
32526,20-80-ABB25-6,Unknown,Unknown,Unknown,Regular,Wine,True,False,False
32396,50-50-ABB25-12,Unknown,Unknown,Red,Regular,Wine,True,False,False
24422,WO-VR100-3L,Unknown,3L,Unknown,Regular,Wine,False,False,False
43074,WO-CABP-5L,BIB,5L,Unknown,Regular,Wine,False,False,False
3592,WO-SARE-075,Unknown,Unknown,Red,Regular,Wine,False,False,False
43880,BUND-3L-BIANCO-ROSSO,BIB,3L,Red,Regular,Wine,False,False,False
35699,,BIB,3L,Red,Regular,Wine,False,False,False
38794,,BIB,3L,White,Regular,Wine,False,False,False
44635,BUND-3L-BIANCO,BIB,3L,White,Regular,Wine,False,False,False
44615,,BIB,3L,Unknown,Unknown,Unknown,False,False,False
44595,,BIB,3L,Unknown,Unknown,Unknown,False,False,False
30799,BUND-3L-ROSSO,BIB,3L,Red,Regular,Wine,False,False,False
37170,,BIB,3L,Unknown,Regular,Wine,False,False,False
3361,WO-ALF-75,Unknown,0.75L,Red,Regular,Wine,False,False,False
42495,,Unknown,Unknown,Red,Regular,Wine,False,False,False
36951,BUND-VERM/IBU,BIB,Unknown,Unknown,Regular,Wine,False,False,False
38054,,BIB,3L,White,Regular,Wine,False,False,False
42516,MIEL-CAS-500,Not Applicable,500g,Not Applicable,Not Applicable,Honey,False,False,False
36357,WO-SANCIL-75,Unknown,Unknown,Red,Regular,Wine,False,False,False
36205,BUND-ROSSO,Unknown,Unknown,Red,Regular,Bundle,False,False,False
42479,MIEL-FIO-250,Not Applicable,250g,Not Applicable,Not Applicable,Honey,False,False,False
3321,WO-OLIO-075,Not Applicable,Unknown,Not Applicable,Not Applicable,Oil,False,False,False
38808,BUND-BIAN/IBU,BIB,Unknown,White,Regular,Wine,False,False,False
36649,BUND-2080/ALF,BIB,Unknown,Unknown,Regular,Wine,False,False,False
41677,BUND-BIANCO/LEG,Unknown,3L,Unknown,Unknown,Unknown,False,False,False
41660,,BIB,3L,Red,Regular,Wine,False,False,False
36796,BUND-100SANG/LIC,BIB,Unknown,Unknown,Regular,Wine,False,False,False
42960,WO-PIC-500,Unknown,500g,Unknown,Unknown,Unknown,False,False,False
39466,BUND-SAN/CIL,BIB,Unknown,Unknown,Regular,Wine,False,False,False
42304,GEL-200,Unknown,200g,Unknown,Unknown,Unknown,False,False,False
38296,WO-CABSAV-5L,Unknown,5L,Unknown,Regular,Wine,False,False,False
37157,,Unknown,6L,Unknown,Unknown,Unknown,True,False,False
23378,SUB-5050-26,Unknown,Unknown,Red,Regular,Wine,True,False,False
25026,SUB-100-3L-12,Unknown,Unknown,Unknown,Regular,Wine,True,False,False
24437,VS-SUB-6,Unknown,Unknown,Unknown,Regular,Wine,True,False,False
32659,SANG-ABB25-8,Unknown,Unknown,Unknown,Regular,Wine,True,False,False
35513,WO-CLAS-5L,BIB,5L,Red,Regular,Wine,False,False,False
32545,VS-ABB25-7,Unknown,Unknown,White,Regular,Wine,True,False,False
26420,2080-SUB-3L-10,Unknown,Unknown,Unknown,Regular,Wine,True,False,False
unknown_pos_sale,,Bottiglia,Unknown,Unknown,Unknown,Unknown,False,False,False
36854,WO-LIC-75-OMG,Unknown,Unknown,Unknown,Regular,Wine,False,False,False
36571,WO-1123-75-OMG,Unknown,Unknown,Red,Regular,Wine,False,False,False
unknown_gift_item,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
20000,,BIB,Unknown,Not Applicable,Not Applicable,Oil,False,False,False
3319,WO-SIR-75,Unknown,Unknown,Red,Regular,Wine,False,False,False
